release_speed,release_spin_rate,pfx_x,pfx_z,release_pos_x,release_pos_z,plate_x,plate_z,release_extension,p_throws
90.9,2549.0,0.32,0.49,-2.31,5.84,1.4005650877215623,1.2274490348139058,6.6,1
84.0,2740.0,0.56,-1.24,-2.42,6.15,-0.9608335589005172,3.0236479545860435,6.0,1
92.0,2317.0,-0.26,1.37,1.33,6.2,0.7954126280048046,4.810397968521836,6.4,0
82.6,2430.0,0.45,-0.36,-2.21,5.99,0.120517742763537,1.5973764600872178,6.9,1
87.0,1633.0,1.11,1.08,2.46,6.35,0.5082670131012792,1.1796471322187676,7.1,0
98.0,2421.0,-0.33,1.76,-1.99,5.84,-0.71178967717011,3.5283844876913344,6.8,1
96.3,2472.0,0.7,1.6,2.12,6.59,1.4621497249174844,3.683624508411008,6.9,0
87.2,2379.0,0.54,0.47,-2.31,5.66,1.6051449205906223,1.0571459337437743,6.8,1
90.4,2091.0,0.09,1.36,1.64,6.21,0.3960218746754004,3.1278852095946457,6.3,0
83.5,2179.0,0.47,0.31,-2.09,5.86,-0.5044001034868986,2.607505946058969,7.1,1
97.9,2430.0,-0.38,1.24,-2.39,5.66,-1.2199390945110846,2.7924519882375503,6.9,1
94.1,2523.0,0.15,0.85,-2.25,5.77,0.1013101789871901,2.691708927526836,6.2,1
90.0,1708.0,1.37,0.52,0.78,6.27,0.5164306200687897,2.072745779572916,6.0,0
91.8,2561.0,0.14,0.7,-2.1,5.57,1.3570137137359182,2.1995703089242378,7.1,1
96.7,2215.0,1.34,0.88,0.38,6.29,0.78718816700168,2.377939792727491,6.8,0
94.4,2238.0,-0.92,1.38,-1.46,6.05,-0.0297193534850828,2.794720587830184,6.0,1
88.1,1639.0,1.42,0.36,0.77,6.21,-1.067938182749293,-0.1424120572671352,6.2,0
93.6,2743.0,-1.34,0.56,-2.19,5.72,0.2163503695553517,1.6695766945376924,7.0,1
83.9,2263.0,-0.5,0.57,1.73,6.12,-0.5187217642008568,2.7790145344904293,6.4,0
84.6,2996.0,0.49,-1.14,-1.83,6.07,1.2546206522557235,1.3551986956223256,6.2,1
81.1,2989.0,-0.54,-1.12,0.72,6.07,-0.4359070476110244,2.5942362362724056,5.9,0
97.2,2286.0,-0.26,1.2,-2.0,5.75,0.5186480511013944,3.1440762188396327,6.9,1
95.7,2504.0,-0.96,1.37,-1.78,5.52,0.5363094013032677,3.1528919492765963,7.2,1
85.1,2464.0,0.47,0.03,-2.05,5.89,1.2367881976480013,0.1396320413451981,7.1,1
73.3,2510.0,1.02,-1.25,-1.71,6.27,1.9148819481903263,1.4327747359154657,6.6,1
96.1,2486.0,0.49,1.59,1.98,6.44,0.5127542725328433,2.1184891677135345,7.1,0
86.5,2257.0,0.45,0.66,-1.97,5.86,1.073067090473494,0.9554814590189904,6.9,1
95.6,2534.0,-0.72,1.35,-2.07,5.56,1.0259916525495223,2.299840472656136,7.2,1
92.0,2248.0,0.01,1.44,1.7,6.12,0.9720277314539916,2.52001932356983,6.7,0
94.7,2514.0,-0.67,1.31,-1.95,5.4,1.08439054539397,2.1139126969753703,7.3,1
97.0,2521.0,0.56,1.48,1.91,6.47,-0.8998083462636648,2.4462566565714434,7.1,0
88.3,2247.0,-1.07,0.99,-2.12,5.91,-1.8216407430492267,2.687323849332725,7.0,1
84.8,2383.0,0.31,0.21,-2.13,5.98,0.8752805879527139,0.9672334371703272,7.0,1
86.1,2532.0,0.22,-0.58,-1.84,6.16,0.1797466329132607,2.2338273485667526,6.9,1
91.0,2469.0,0.47,0.18,-2.51,5.54,0.562001367706193,1.6463043728444218,6.9,1
95.8,2384.0,-0.68,1.28,-1.84,6.04,-0.0860324434211088,3.3542734317142826,6.3,1
94.9,2509.0,-0.94,1.42,-1.81,6.22,-0.6183066842275788,3.456756089157349,6.2,1
86.4,2559.0,-0.72,0.5,1.44,6.21,-0.4049350081031018,2.7858876629907305,6.2,0
96.4,2249.0,1.26,0.74,0.22,6.47,0.2971023991776035,1.5414637932123028,5.5,0
94.7,2521.0,0.43,1.59,2.08,6.58,0.0304478487357429,1.2160166752527997,7.0,0
83.7,2514.0,0.54,-0.42,-2.24,5.89,-0.249700947184804,1.1636924154873305,7.1,1
81.8,2349.0,0.91,0.37,-2.08,5.67,-0.2437007085103736,1.7396866327254497,6.8,1
97.5,2586.0,0.33,1.6,2.06,6.5,-0.1675019862674558,2.064155618857965,6.9,0
87.9,2246.0,0.01,0.29,2.32,6.7,-1.0105421158782533,-0.0838947559861518,6.2,0
96.9,2401.0,-0.46,1.44,-1.96,6.1,-0.630718535497625,3.317864727687713,7.0,1
96.7,2188.0,-0.73,1.18,-2.14,5.68,-0.8410538030255644,4.282285126843274,7.0,1
81.8,1698.0,1.14,0.98,2.34,6.36,0.7085460546792497,2.5064179014148875,7.0,0
81.7,2876.0,0.84,-1.07,-2.11,6.09,-0.0614686350705833,2.7770862162251504,6.2,1
96.4,2404.0,-1.12,0.87,-1.95,5.06,-0.1498855412184037,2.6479648534162745,7.5,1
97.7,2195.0,-0.28,1.48,-2.09,6.01,0.1620483895329917,3.0765859553862644,7.1,1
88.8,2397.0,-1.07,0.83,-2.36,5.67,-2.678021843909031,2.8701907268216096,7.0,1
88.7,2593.0,-0.39,0.5,2.19,6.68,-0.9695564945157616,1.1097742120861072,7.0,0
85.6,2517.0,-0.2,0.72,1.79,6.22,-0.3658505049091615,1.1149768194385032,6.3,0
93.5,2120.0,1.21,0.79,0.74,6.07,0.5989688818461444,2.138025179692638,6.1,0
85.6,2482.0,1.31,0.32,-1.84,6.07,2.2416543783096143,0.8115605225338527,6.8,1
85.4,2370.0,0.52,0.28,-1.94,5.83,0.7539757850403503,1.855762794508352,7.1,1
86.1,1421.0,1.17,0.65,1.29,5.62,1.6309484643436667,1.7831666899844527,6.6,0
89.8,1528.0,-1.36,0.75,-1.86,5.76,0.1728626148036478,0.9117756631313132,6.6,1
88.2,2497.0,-0.44,0.52,1.5,6.15,-0.6524893941358528,0.5491345735768149,6.4,0
82.0,2949.0,-0.67,-1.57,0.74,6.05,-1.2265977280638245,-0.349943603681849,5.9,0
78.2,2733.0,-0.78,-1.41,1.0,6.3,1.34750262264394,3.921715432049989,5.4,0
84.4,2240.0,0.43,0.19,-2.08,5.88,1.4361007737691975,1.759685863407889,7.2,1
95.3,2410.0,-0.05,1.33,2.0,6.79,-0.1447493939835806,3.699670066301236,6.8,0
96.4,2197.0,1.47,0.97,0.51,6.26,0.4738736824359985,1.9943190323718167,6.0,0
91.2,2072.0,0.98,0.98,0.46,6.41,1.4791581562390803,2.5406922332786137,5.1,0
90.8,2278.0,-0.09,1.45,1.78,6.09,0.105019894522285,2.6661165113721443,6.9,0
79.9,2846.0,-0.49,-1.17,0.89,6.18,-0.4948744038634358,0.8802985367519769,5.8,0
90.4,2468.0,0.0,1.39,1.51,6.13,-0.2728081768753542,1.996028969600236,6.5,0
87.1,2275.0,0.64,0.19,-2.06,5.9,0.7502955036870267,1.7394076616309415,7.2,1
83.4,2599.0,1.65,0.13,-2.41,5.79,-0.0944801090788218,2.2445592132223617,6.9,1
89.5,2621.0,0.19,0.24,-1.76,5.8,1.6216987989339278,-0.070461101445022,6.3,1
89.6,2510.0,0.26,0.0,-2.21,5.65,0.9829435611151022,1.394254014407546,6.3,1
86.6,2362.0,0.42,0.09,-1.81,5.76,0.8007024346163374,2.3855394425865017,7.1,1
83.2,2698.0,-0.35,-0.4,0.84,6.17,-1.022832498679594,-0.2830351845378929,5.9,0
85.2,2317.0,0.69,-0.16,-2.07,5.96,0.2894575546387187,0.9717841858580768,6.9,1
83.6,2749.0,-0.32,-0.51,0.62,6.2,-0.0579632878888757,1.3568452663819643,5.9,0
95.1,2360.0,0.16,1.56,2.21,6.53,0.6955158034869093,1.7144168724275357,7.0,0
88.0,2236.0,0.23,1.41,1.81,5.89,0.0452673793294018,1.4133097732092244,6.7,0
83.6,2544.0,-0.72,0.1,1.39,6.17,-0.1170878839792622,3.4527555247824497,6.3,0
85.0,2453.0,0.35,-0.08,-2.13,5.78,0.077995006394774,4.759551143826613,6.2,1
96.1,2366.0,-0.25,1.6,-1.87,6.05,0.2991766412972699,2.55144135981843,7.0,1
88.2,2327.0,-0.36,0.52,2.05,6.72,0.3725733726418682,1.947858840499212,6.7,0
84.6,2936.0,0.73,-1.04,-2.21,5.98,0.5187611525518254,2.3031187150096337,6.0,1
95.8,2523.0,-0.62,1.56,-1.71,6.02,-0.6638181352616304,2.934345579426942,6.3,1
95.3,2400.0,0.38,1.48,2.0,6.75,-0.6250857102794697,3.971838990745096,6.6,0
94.5,2521.0,0.49,1.51,2.24,6.52,1.6709721469587848,1.92760106348118,6.8,0
86.8,2254.0,0.54,0.23,-2.11,5.83,0.1815347766709017,2.1994687891972045,7.1,1
97.0,2174.0,1.41,0.77,0.1,6.07,-1.4979124941334765,2.4701796368091067,6.0,0
77.1,2993.0,-0.92,-1.32,0.92,6.27,0.8509057345756931,3.262793575218949,5.6,0
95.9,2418.0,0.44,1.34,2.08,6.66,-0.5681213047157025,2.541795432383961,7.2,0
88.0,1690.0,1.25,0.08,0.78,5.97,0.4489489618024026,1.0393776427821655,6.1,0
98.2,2320.0,-0.33,1.58,-2.15,5.9,0.0587018754527812,2.1499271837101714,7.0,1
96.0,2412.0,0.55,1.67,2.03,6.68,-0.0212184906332604,2.062755675247224,6.8,0
98.5,2490.0,-0.58,1.36,-2.16,5.87,0.9868697164059848,2.32607110142438,6.5,1
85.6,1905.0,1.01,1.13,2.4,6.55,0.4735077300454827,1.9691636889266328,6.8,0
86.6,1383.0,1.18,0.52,1.45,5.67,-0.1347349386144254,-0.3656529876768757,6.9,0
96.1,2598.0,-0.05,1.07,-1.88,5.38,0.2782641881265011,2.8449030672969866,7.0,1
87.1,1879.0,0.73,1.01,2.34,6.45,1.2618282156995488,1.8776138126429265,7.1,0
89.9,1227.0,-0.66,0.23,-1.82,6.08,0.3043143706316848,0.6133205252151983,7.0,1
80.7,2920.0,-0.88,-1.33,0.75,6.09,0.1178080893895756,2.0209116524254185,5.9,0
81.3,2899.0,-1.02,-1.05,0.92,6.06,-0.8530190657612029,0.95904027828264,5.8,0
84.5,2386.0,-0.68,0.46,1.46,6.26,-1.0920173172618166,1.2042792427528384,6.3,0
95.0,2312.0,0.4,1.66,1.95,6.64,-0.6485165786849567,2.9275288648293607,7.0,0
86.6,2608.0,-0.65,0.22,1.57,6.16,-0.2146771984164966,1.7577562500207815,6.4,0
86.0,1862.0,1.07,0.99,2.2,6.34,0.2186862956568271,1.549114327809218,7.4,0
95.4,2153.0,1.38,0.8,0.53,6.2,0.1329701248977282,2.4177355146017088,6.0,0
83.5,1992.0,1.12,1.15,1.85,6.23,1.2557073860709262,3.889072365739581,6.4,0
86.4,2648.0,-0.54,0.55,1.64,6.2,-0.7288708401203916,1.0663053077678155,6.5,0
83.5,2745.0,0.56,-0.86,-1.64,6.0,0.6720829153987916,0.4362704243431108,6.1,1
98.8,2420.0,-0.76,1.63,-2.02,5.7,0.6816715970277623,1.7781434238987612,7.1,1
87.8,1893.0,1.14,1.04,2.2,6.41,0.6887558655177795,0.0499267952323458,7.0,0
96.5,2361.0,-0.35,1.55,-2.05,5.84,-0.3437626489579157,2.924714034307878,7.1,1
88.2,2526.0,-0.82,0.65,1.66,6.13,-0.5721417895229399,2.401443644131743,6.3,0
94.9,2290.0,0.5,1.55,2.21,6.73,0.3690110077842083,2.300361575504675,6.8,0
81.6,2435.0,-1.16,-0.96,2.07,6.62,-0.3130836574128491,0.5393587686856534,7.2,0
93.5,2328.0,-1.33,0.31,-2.31,5.55,-0.75621014752036,3.086429638978489,6.9,1
95.1,2367.0,-0.77,1.44,-1.93,5.93,0.9629422416231024,2.028134715699118,7.0,1
96.6,2501.0,0.34,1.62,2.15,6.53,-0.5876702216297552,1.7018722751407551,6.9,0
95.0,2323.0,-0.23,1.26,-1.96,5.67,-0.4415177093056521,3.0042531201301585,7.0,1
85.7,2458.0,0.47,0.17,-2.25,5.82,-0.1077824791880527,1.914658110039957,6.9,1
87.5,1892.0,1.01,1.04,2.23,6.58,0.6257251390227575,1.8841861150286807,6.8,0
95.9,2177.0,1.3,0.79,0.53,6.27,-0.1281679929652188,3.918572055708167,6.1,0
84.7,2698.0,1.18,-0.09,-2.23,5.28,-0.8191834616660125,1.7818059584725572,7.2,1
92.9,2267.0,0.51,0.95,1.09,6.07,0.1215263788871458,2.044076829558892,6.6,0
95.2,2460.0,0.52,1.71,2.07,6.84,-0.1061536739358532,3.2732459643033462,6.9,0
87.2,1954.0,1.03,1.16,2.39,6.56,1.0615498596047923,2.448744233328141,6.8,0
96.7,2390.0,-1.57,0.77,-2.05,5.54,-0.8075953875938782,2.059361283528269,7.4,1
73.9,2866.0,-1.11,-1.39,1.31,6.08,0.8096584763804892,2.799856810622076,6.5,0
96.9,2400.0,-0.85,1.46,-2.11,5.8,0.95270481235568,2.185878573695184,6.4,1
96.1,2371.0,-0.45,1.23,-1.88,5.46,-0.1482007744432489,3.746965577110972,7.5,1
95.8,2500.0,-0.61,1.28,-1.96,5.31,-1.4629627533862473,2.953469427046037,7.3,1
97.1,2434.0,-0.47,1.5,-1.99,5.75,1.1698374011375177,3.1633257496439047,7.3,1
95.2,2119.0,1.09,0.82,0.41,6.23,0.4017931717532539,2.2093071488904794,5.7,0
92.4,2090.0,-0.15,1.25,1.07,5.97,-0.4212324945172405,2.1053579539027165,6.7,0
94.0,2381.0,0.47,1.7,1.86,6.72,-1.006642482303168,2.354373619714248,6.8,0
85.1,2547.0,1.54,0.5,-2.63,5.55,-0.6242386597131675,1.680686522973896,6.8,1
89.9,2615.0,0.34,-0.18,-1.84,5.76,0.37645644517243,1.867651923073351,6.6,1
78.2,2592.0,-0.87,-0.87,2.03,6.69,-0.3804183979882587,2.192604275927604,6.5,0
95.8,2443.0,0.45,1.63,2.04,6.57,-1.221391123426468,2.38241403385306,7.2,0
97.7,2363.0,-0.57,1.4,-2.17,5.94,-0.5295784023552867,3.218213675296699,6.5,1
90.4,2521.0,0.29,-0.06,-2.07,5.88,0.9067987529839264,1.4191867822964168,6.1,1
95.0,2195.0,1.39,0.82,0.62,6.05,0.0801473883008128,1.390794490767341,6.0,0
84.7,2613.0,1.18,0.27,-1.96,5.26,0.4222711922477221,1.667532669124721,7.2,1
94.4,2349.0,-0.35,1.16,-2.07,5.58,-0.2014134766416014,2.497825090189896,7.0,1
97.7,2591.0,-0.47,1.31,-1.83,5.48,0.5963765942916129,2.275620914969963,7.5,1
89.7,2313.0,0.09,1.43,1.58,6.18,0.0908965678816232,3.4946819400518647,6.4,0
95.4,2213.0,1.31,0.92,0.54,6.31,-0.212441971867308,2.417407008237434,5.8,0
96.3,2512.0,-0.3,1.41,-2.27,6.14,-0.1261193440877484,3.48420298945634,6.2,1
84.9,1746.0,1.27,0.67,2.38,6.41,0.1689791726275535,0.4981293165643294,7.0,0
99.2,2304.0,-0.54,1.49,-1.85,5.69,0.3949598411087929,2.3465244542106,7.3,1
98.4,2519.0,-0.66,1.22,-1.98,5.54,-0.7634319522625558,2.398388856585848,7.2,1
83.9,2455.0,1.21,0.62,-2.32,5.56,1.1162126947837212,2.192809944870293,6.7,1
89.2,1636.0,-1.43,0.79,-1.82,5.77,-1.2039713493520428,1.868971750996924,6.2,1
93.9,2141.0,1.38,0.54,0.53,6.23,0.1045871675476732,2.600360122315577,5.9,0
79.6,2447.0,-1.06,-0.97,2.19,6.57,0.2864738666767362,1.931541098010466,6.7,0
83.8,2545.0,1.11,0.17,-2.21,5.29,-0.2013622655017519,2.2839122496316007,6.5,1
88.4,2439.0,-0.44,0.58,1.39,6.22,-0.5173002090651861,0.8135166218013694,6.6,0
98.8,2397.0,-0.84,1.47,-1.97,5.75,-0.3152643246052631,1.4731052114737797,7.2,1
95.9,2379.0,0.16,1.51,2.18,6.65,1.1848513272120715,3.882521221996909,6.6,0
80.6,2531.0,-1.27,-0.74,2.04,6.59,-0.157887962043896,1.478176921668517,7.0,0
92.2,2395.0,0.11,1.56,1.43,6.13,0.6722623049493284,1.5860881842570702,6.4,0
88.0,2427.0,-0.49,0.69,1.03,6.28,-0.8975914754532754,3.079955315377935,6.4,0
83.1,2695.0,1.0,0.06,-2.07,5.55,-0.6962916652163063,2.6282073457482005,6.7,1
79.7,2598.0,-0.66,-0.55,1.96,6.51,-0.2494217143706524,0.2531925269659352,6.8,0
87.6,2515.0,-0.06,0.19,0.97,6.17,-2.2805861882621983,-1.3841140515842132,5.9,0
82.9,2606.0,-0.07,0.06,0.73,5.93,-0.3687984167762194,1.4939501712684158,6.0,0
